Date,Deep,Dive length,Visibility,Ballast,Condition,Suit,Surface temperature,Depth temperature,Partner,Spot latitude,Spot longitude,Spot title,Ballons[[Material,Volume,Gas,Pressure(start-finish)]]
 13.10.24 ,26.1 m,48,6  m,14 kg,Default,Dry,14 C°,12 C°,-,58.3294,11.5701,Jordfall Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 13.10.24 ,26.8 m,52,6  m,14 kg,Default,Dry,14 C°,13 C°,-,58.3294,11.5701,Jordfall Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 08.06.24 ,6.7 m,61,4  m,12 kg,Studies,Dry,19 C°,12 C°,-,57.6257,11.9745,Sisjön Sisjön Sisjön Sweden,[[Steel,12L,AIR,0 - 0]]
 08.06.24 ,7.2 m,65,4  m,12 kg,Studies,Dry,19 C°,12 C°,-,57.6257,11.9745,Sisjön Sisjön Sisjön Sweden,[[Steel,12L,AIR,0 - 0]]
 05.05.24 ,24.6 m,36,5  m,16 kg,Default,Dry,11 C°,7 C°,-,58.3214,11.5597,Fossens Camping Lysekil Skagerrak Sweden,[[Steel,12L,AIR,0 - 0]]
 05.05.24 ,23.7 m,40,5  m,16 kg,Default,Dry,11 C°,8 C°,-,58.3214,11.5597,Fossens Camping Lysekil Skagerrak Sweden,[[Steel,12L,AIR,0 - 0]]
 07.04.24 ,20.0 m,50,3  m,16 kg,Default,Dry,6 C°,5 C°,-,58.3294,11.5701,Jordfall Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 07.04.24 ,30.4 m,46,3  m,16 kg,Default,Dry,5 C°,5 C°,-,58.3294,11.5701,Jordfall Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 17.12.23 ,25.7 m,35,4  m,16 kg,Default,Dry,10 C°,2 C°,-,58.3294,11.5701,Jordfall Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 17.12.23 ,27.8 m,42,4  m,16 kg,Default,Dry,11 C°,3 C°,-,58.3294,11.5701,Jordfall Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 26.11.23 ,14.9 m,46,2  m,16 kg,Default,Dry,12 C°,10 C°,-,58.3294,11.5701,Jordfall Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 26.11.23 ,24.2 m,42,2  m,16 kg,Default,Dry,11 C°,9 C°,-,58.3294,11.5701,Jordfall Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 22.10.23 ,23.1 m,70,5  m,16 kg,Default,Dry,14 C°,13 C°,-,58.2988,11.531,Stenstranden, Gullmarsfjorden Skår Skagerak Sweden,[[Steel,12L,AIR,0 - 0]]
 22.10.23 ,25.7 m,71,5  m,10 kg,Default,Dry,14 C°,14 C°,-,58.2988,11.531,Stenstranden, Gullmarsfjorden Skår Skagerak Sweden,[[Steel,12L,AIR,0 - 0]]
 10.09.23 ,27.5 m,59,5  m,10 kg,Default,Dry,18 C°,15 C°,-,58.3214,11.5597,Fossens Camping Lysekil Skagerrak Sweden,[[Steel,12L,AIR,0 - 0]]
 10.09.23 ,30.7 m,58,5  m,10 kg,Default,Dry,18 C°,15 C°,-,58.3214,11.5597,Fossens Camping Lysekil Skagerrak Sweden,[[Steel,12L,AIR,0 - 0]]
 27.08.23 ,20.1 m,48,5  m,8 kg,Default,Dry,18 C°,15 C°,-,58.3214,11.5597,Fossens Camping Lysekil Skagerrak Sweden,[[Steel,10L,AIR,0 - 0]]
 27.08.23 ,20.4 m,47,5  m,8 kg,Default,Dry,18 C°,15 C°,-,58.3214,11.5597,Fossens Camping Lysekil Skagerrak Sweden,[[Steel,10L,AIR,0 - 0]]
 02.07.23 ,25.1 m,60,8  m,10 kg,Default,Dry,20 C°,8 C°,-,58.3294,11.5701,Jordfall Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 02.07.23 ,29.0 m,55,8  m,10 kg,Default,Dry,19 C°,7 C°,-,58.3294,11.5701,Jordfall Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 11.06.23 ,27.8 m,53,10  m,10 kg,Default,Dry,17 C°,9 C°,-,58.3214,11.5597,Fossens Camping Lysekil Skagerrak Sweden,[[Steel,12L,AIR,0 - 0]]
 11.06.23 ,29.0 m,55,10  m,10 kg,Default,Dry,17 C°,8 C°,-,58.3214,11.5597,Fossens Camping Lysekil Skagerrak Sweden,[[Steel,12L,AIR,0 - 0]]
 21.05.23 ,30.0 m,48,6  m,16 kg,Default,Dry,10 C°,6 C°,-,58.2973,11.5318,Skår Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
 21.05.23 ,26.9 m,48,6  m,16 kg,Default,Dry,9 C°,6 C°,-,58.2973,11.5318,Skår Lysekil Gullmarsfjorden Sweden,[[Steel,12L,AIR,0 - 0]]
